,id,date,text,tag_class,source,lang,urls
13,t-1742689368114966840,2024-01-03T23:28:17Z,Met Office issues yellow weather warning with heavy rain forecast for Dorset https://t.co/ZUjj3FmGkU via @bournemouthone,['flood-forecast'],twitter,en,https://twitter.com/DorsetAlerts/status/1742689368114966840
14,t-1742689351820054890,2024-01-03T23:28:13Z,"News: The Met Office has issued a yellow severe weather warning for heavy rain today, Thursday, across Southern England including Dorset... https://t.co/dFlE1UjrIX https://t.co/R2KGV8O8ae",['flood-forecast'],twitter,en,https://twitter.com/BournemouthOne/status/1742689351820054890
15,t-1742688677493670136,2024-01-03T23:25:32Z,"{KD Fighting Stigma} Storm Henk: Local 'hero' rescues trapped driver and toddler in river after heavy rainfall hits ...: Police say ""hero"", Liam Stych, entered flood water in Hall Green, Birmingham, to rescue a trapped driver and her three-year-old child. https://t.co/wsyapo8L0J",['flood-affected'],twitter,en,https://twitter.com/StigmabaseN/status/1742688677493670136
16,t-1742688006299877760,2024-01-03T23:22:52Z,'Further disruption is expected across the West in the aftermath of #StormHenk. Eleven flood warnings are in place in Wiltshire and there are nine flood warnings for the River Severn in Gloucestershire.'  https://t.co/849FDMr3f6,['flood-forecast'],twitter,en,https://twitter.com/ConserverLiving/status/1742688006299877760
17,t-1742687438474989600,2024-01-03T23:20:37Z,@IngrameThomas Should be under investigation for the money he’s given to terrorists that could have helped Scottish people in flooding areas. The guy is only interested in helping Gaza. A danger ⛔️ to Scotland.,,twitter,en,https://twitter.com/billyni99933742/status/1742687438474989600
18,t-1742687129220927530,2024-01-03T23:19:23Z,"@elonmusk @JamesOKeefeIII @RESCUEorg Surely David - brother of former UK opposition leader, Ed Miliband - and CEO at Int Rescue, is not cashing in on flooding migrants into USA?

Maybe it’s a different organisation?

After all it’s not like the UK to secretly damage the USA is it @TFL1728 ?",,twitter,en,https://twitter.com/Macro_Dad/status/1742687129220927530
19,t-1742686872231674166,2024-01-03T23:18:22Z,"Ahh drainage....... We've lost almost all of our ponds and wetlands in the UK thanks to drainage...... And when the rain comes, it has nowhere to go anymore. Flood risk profiling anyone??",['flood-forecast'],twitter,en,https://twitter.com/StillRosieWood/status/1742686872231674166
20,t-1742686730514313652,2024-01-03T23:17:48Z,@feistywomankent Vast amounts of wealth leave the U.K. under the Tories - it flows away like a river in flood to the tax havens!!,,twitter,en,https://twitter.com/LeslieW82550731/status/1742686730514313652
21,news-eventregistry-7916782743,2024-01-03T23:15:48Z,"Late Cork surge rains on Clare's opening parade - The Clare Champion

Holders Cork eventually possessed too much experience as they overpowered hosts Clare coming down the final straight to put one foot back in what would be a sixth successive McGrath Cup Final in Clarecastle GAA Astro on Wednesday evening. Springing five of last year's championship side from the bench in the second period, the Rebels produced a remarkable 14 point turnaround in the final 20 minutes including 1-5 from substitute duo Mark Cronin (1-3) and Chris Óg Jones (0-2).

In contrast to eleven Cork survivors from last year's Munster Senior Championship Semi-Final showdown, a new-look Clare only possessed five of the 20 used in that memorable victory as Mark

Fitzgerald's reign finally got the mark in earnest.

Large injuries to Emmet McMahon and Mark McInerney were frustrating enough besides losing Cillian Rouine in the warm-up which ensured debuts for Darren O'Brien and Josh Guyler in addition to former Westmeath player Gavin Murray and Kildysart's Diarmuid O'Donnell. The first two-thirds of the contest were evenly-matched, with the incessant squall of rain and wind ensuring a low scoring first quarter that only saw Daniel Walsh's immediate opener eventually cancelled out by the impressive Colm O'Callaghan at 0-1 to 0-1.

Once the rain subsided, the visitors answered a Ciaran Downes free by kicking three points without reply through Paul Walsh, Darragh Cashman and a Blake Murphy free at 0-4 to 0-2. A last gasp Diarmuid O'Donnell free did halve the interval arrears to the minimum and the home side looked to kick on for the new half when returning with three further Downes frees to inch 0-6 to 0-4 clear by the 48th minute.

However, a sucker-punch Conor Corbett goal on the counter from Cork at the turn of the final quarter would by the catalyst for a complete sea-change in the narrative for the remainder as a buoyant Cork helped by their superior bench outscored their hosts by 2-10 to 0-2. Good work from captain Mattie Taylor, Brian O'Driscoll and the relentless Paul Walsh teed up Corbett for a back post flick to the net at 1-5 to 0-6 while a brace of points each from replacements Chris Óg Jones and Mark Cronin sandwiched a clinching second goal for the latter after fellow substitutes Jones and Ian Maguire played him in.

Kieran Malone did finally end Clare's 22 minute barren patch after coming in but there was certainly no doubting the victors as Cork fleshed out the final margin in ruthless fashion. Clare meanwhile have a quick turnaround as they travel to Lemybrien on Sunday (2pm) in search of a first victory of the post-Colm Collins era before a welcome three week recess to lighten their treatment table ahead of their National League Division 3 opener at home to Sligo on Sunday, January 29.

Cork: Patrick Doyle (Knocknagree); Kevin Flahive (Douglas), Maurice Shanley (Clonakilty), Mattie Taylor (Mallow); Darragh Cashman (Millstreet), Tommy Walsh (Kanturk), Brian O'Driscoll (Tadhg Mac Carthaigh); Colm O'Callaghan (Éire Óg), Paul Walsh (Kanturk); Eoghan McSweeney (Knocknagree), Fionn Herlihy (Dohenys), John O'Rourke (Carbery Rangers); David Buckley (Newcestown), Conor Corbett (Clyda Rovers), Blake Murphy (St Vincent's).

Subs: Chris Óg Jones (Iveleary) for Herlihy (HT), Ruairi Deane (Bantry Blues) for O'Rourke (HT), Ian Maguire (Nemo Rangers) for McSweeney (49), Mark Cronin (Nemo Rangers) for Murphy (54), Luke Fahy (Ballincollig) for Cashman (56, inj), Sean Meehan (Kiskeam) for Flahive (63), Damien Gore (Kilmacabea) for Buckley (66), Neil Lordan (Ballinora) for P. Walsh (69), Jack McCarthy (Carrigaline) for T. Walsh (69)

Scorers: Mark Cronin (1-3, 2f); Conor Corbett (1-2); Darragh Cashman, Chris Óg Jones, Colm O'Callaghan (0-2 each); Paul Walsh, Blake Murphy (f), Mattie Taylor (0-1 each)

Clare: Stephen Ryan (Kilrush Shamrocks); Ronan Lanigan (Éire Óg), Manus Doherty (Éire Óg), Micheál Garry (Cooraclare); Josh Guyler (Inagh-Kilnamona), Alan Sweeney (St Breckan's), Daniel Walsh (Kilmurry Ibrickane); Gavin Murray (Éire Óg), Brian McNamara (Cooraclare); Dermot Coughlan (Kilmurry Ibrickane), Darren O'Brien (Éire Óg), Ciaran Downes (Kilmihil); Diarmuid O'Donnell (Kildysart), Aaron Griffin (Lissycasey), Shane Griffin (Lissycasey).

Subs: Kieran Malone (St Joseph's Miltown) for Coughlan (45-49, BS), Malone for O'Donnell (53), Tom McDonald (St Joseph's Doora/Barefield) for O'Brien (56), Ciaran McMahon (Ennistymon) for Coughlan (60, inj)

Scorers: Ciaran Downes (0-5, 4f); Daniel Walsh, Diarmuid O'Donnell (f), Kieran Malone (0-1 each)",,news,en,https://clarechampion.ie/late-cork-surge-rains-on-clares-opening-parade/
22,t-1742686023493050559,2024-01-03T23:15:00Z,"Strong winds and heavy rain from Storm Henk wreaked havoc in parts of western Europe, prompting more than 300 flood warnings across the U.K. https://t.co/wPwa0hnm1I https://t.co/c44hpP1bar",['flood-forecast'],twitter,en,https://twitter.com/ABC/status/1742686023493050559
23,t-1742685338932285858,2024-01-03T23:12:16Z,"@postcarbonsteve Meanwhile here in the UK it seems to be raining continuously, turning farmland soil to mud which is almost as bad as drought soil.  Shortages of home grown veg are predicted in the spring.",,twitter,en,https://twitter.com/BEAMZBikes/status/1742685338932285858
24,t-1742685112683098403,2024-01-03T23:11:23Z,"@SimoninSuffolk Looks very watery Simon. Alas, parts of picturesque Wiltshire similarly flooded. Whither flood defences? @DefraGovUK  🌊 🌊 🌊",,twitter,en,https://twitter.com/MAchiampong/status/1742685112683098403
25,t-1742683766055711000,2024-01-03T23:06:01Z,"Flooding in the Burton upon Trent area. 
 https://t.co/QksjeoXmg1",,twitter,en,https://twitter.com/bus_2_bus_promo/status/1742683766055711000
26,t-1742683175648936019,2024-01-03T23:03:41Z,"@MrMatthewTodd Looks like the UK will soon enjoy US-level hurricanes and flooding. And the incompetent, do-it-yourself recovery.",,twitter,en,https://twitter.com/dex3703/status/1742683175648936019
27,t-1742682705161031785,2024-01-03T23:01:49Z,In pictures: Homes flooded in Loughborough https://t.co/j3oi4PU9H0,['flood-damages'],twitter,en,https://twitter.com/allansharpe/status/1742682705161031785
28,t-1742682211546268077,2024-01-03T22:59:51Z,me after the uk is flooded overnight on 7/35/32 https://t.co/8wVUCVp8Us,,twitter,en,https://twitter.com/live_dum/status/1742682211546268077
29,t-1742681652881690710,2024-01-03T22:57:38Z,@Jeans_Gems @goldfinches12 Lots of flooding here in the East Midlands luckily we are as yet unaffected . Night Jean Sweet Dreams ....,,twitter,en,https://twitter.com/4165180Jp/status/1742681652881690710
30,t-1742681253512675540,2024-01-03T22:56:02Z,@Lord_LMC @Roydini25 @angelazhay We've had 3 months of very wet weather. I'm of a certain age and yes it's winter but this is not normal. Everything is saturated and some. Major roads in NE Scotland have been repeatedly closed / restricted due flooding and water damage since October. As for rural back roads 😞,['flood-logistics'],twitter,en,https://twitter.com/IAmMarcUsOne/status/1742681253512675540
31,t-1742681239495074264,2024-01-03T22:55:59Z,George and Amal Clooney's Berkshire mansion surrounded by floodwater https://t.co/N8QwJoCuA6,,twitter,en,https://twitter.com/ShootersykEku/status/1742681239495074264
32,t-1742681220931334637,2024-01-03T22:55:55Z,"@ConnorPR @Conservatives @OfKawczynski It’s awful but everyone in Shrewsbury should be sending emails on repeat weekly to our MP, local Council and Government minister. Too many false promises and visits by Ministers resulting in nothing! Too much talk and no strategy to solve this ongoing crisis with flooding",,twitter,en,https://twitter.com/JayneCowper/status/1742681220931334637
33,t-1742681073446740402,2024-01-03T22:55:20Z,Bradford on Avon flood defences installed as river bursts banks https://t.co/jO7Okfs6kq,['flood-damages'],twitter,en,https://twitter.com/WiltshireNews/status/1742681073446740402
34,t-1742680244836774159,2024-01-03T22:52:02Z,I don’t see the Environment MP Steve Barclay making any comments on the terrible floods in the UK .,,twitter,en,https://twitter.com/siamese1994/status/1742680244836774159
35,t-1742680131401896255,2024-01-03T22:51:35Z,@nationalexpress What is going to happen to the NX409 given that Shrewsbury is flooded? Why have you not yet sent out any emails?,,twitter,en,https://twitter.com/jackjt8/status/1742680131401896255
36,t-1742679087909359711,2024-01-03T22:47:26Z,"Storm #Henk wreaks havoc in #England. 1 dead. Floods. Power outages. Travel disrupted. Strong winds damage London Eye. More rain to come. #ClimateChange will worsen storms even more, cause coastal erosion, sea level rise and food insecurity in UK in coming decades. #ClimateCrisis https://t.co/g4ZZvwknN8","['flood-affected', 'flood-damages']",twitter,en,https://twitter.com/ClimateConnex/status/1742679087909359711
37,t-1742678558835712156,2024-01-03T22:45:20Z,@Roydini25 I live in a part of doncaster that has had the sandbags out since the end of September in preparation for more flooding . Im Fed up with the rain 🌧 😒,,twitter,en,https://twitter.com/English_Heathen/status/1742678558835712156
38,t-1742678445086122060,2024-01-03T22:44:53Z,Crazy water levels near our base at Redhill Marina today. The team answered a call for help to secure barges that had torn free from their moorings. #flooding #nottingham #volunteers #swiftwaterrescue https://t.co/e7UeTEsCZf,,twitter,en,https://twitter.com/WUKSART/status/1742678445086122060
39,t-1742678359182893557,2024-01-03T22:44:32Z,@mcmungawar Ta Mung Bro! Hope you safe and sound up at Southport one thing in your favor its usually the poor people that get impacted by flood so you'll be sweet,['flood-affected'],twitter,en,https://twitter.com/dsciencedeng/status/1742678359182893557
40,t-1742678265217585323,2024-01-03T22:44:10Z,"Storm Henk…captured using the Canon 1DX plus 135mm f/2 lens in near darkness…sold to the Daily Mail, the Sun &amp; the Daily Telegraph newspapers #jamesjaggerphotography #stormhenk #namedstorm #metoffice #amberwarning #yellowwarning #godalming #floods #flooding #igerssurrey https://t.co/SiLQIN6Vhz",,twitter,en,https://twitter.com/JamesOJagger/status/1742678265217585323
41,t-1742678019926565318,2024-01-03T22:43:11Z,"@warrior_bush @VDejan0000 @CKellyUAP ""Our dams will never be full again"". Another great quote from the climate change commissioner just before the great floods in 2011 where wivenhoe nearly burst.",['flood-damages'],twitter,en,https://twitter.com/Matt08781580/status/1742678019926565318
42,t-1742677952075096468,2024-01-03T22:42:55Z,Rail services cancelled between Nailsea/Backwell and Bristol due to flooded track. Water run-off from Farleigh Fields hillside is the cause. Flood impact assessments for plans need to examine impact on transport @NorthSomersetC @NSomTimes @BridgeTheChange @PersimmonHomes @LiamFox,['flood-damages'],twitter,en,https://twitter.com/FarleighFields/status/1742677952075096468
43,t-1742677176204361785,2024-01-03T22:39:50Z,"@ElliotKaneSays @furbabygirl @LozzaFox And England doesn’t have to take Welsh flood water, but still it comes…",,twitter,en,https://twitter.com/cjmccarthy72/status/1742677176204361785
44,t-1742676853272518964,2024-01-03T22:38:33Z,"The @BBCBreaking News just did segment on a medieval cemetery found in Cardiff, it had a team of people digging in shorts &amp; T-Shirt, it's perfectly dry.

Followed up by The Weather, flooding in Wales...

It's obviously not a recent report, was it a slow news day? https://t.co/riIxOpWLJV",,twitter,en,https://twitter.com/JamesOldham/status/1742676853272518964
45,t-1742676621889310913,2024-01-03T22:37:38Z,"@ScotNational Is that's all that's happening in the world? What about flooding in UK? 230 Ukrainian POWs returned? Hamas leaders tracked down and killed?

That's what you choose to put on the front page?",['flood-affected'],twitter,en,https://twitter.com/GW_Scot/status/1742676621889310913
46,t-1742676129838965020,2024-01-03T22:35:41Z,Looking at the current flood map of  England and this is a brand new neighborhood - Green park Reading https://t.co/wR6WOS6MES,,twitter,en,https://twitter.com/iamstargazing/status/1742676129838965020
47,t-1742675992269799516,2024-01-03T22:35:08Z,Footage of the flooding around Loughborough today. Plans for improvements to the defences around the town need to be put back into place asap https://t.co/a9WAanfftg,,twitter,en,https://twitter.com/AndyJReed_OBE/status/1742675992269799516
48,t-1742675831124582700,2024-01-03T22:34:30Z,"My heart goes out to #Flooding victims across UK. Pictures from #Loughborough &amp; #Gloucester are heart-breaking. I wish them all good luck

Where are #EnvironmentAgency? Cutback to nothing, but c'mon say something &amp; useless #Environment Minister, Steve Barclay

#itvnews #Newsnight https://t.co/GhacBWzFwa",,twitter,en,https://twitter.com/WistfulCass/status/1742675831124582700
49,t-1742675096920019134,2024-01-03T22:31:35Z,"Watching BBC news re the floods in England 
Paul is getting interviewed, saying I was advised to move my car here ( next to the river ). If it rises any higher, my car will be a right off ! 
Who parks their car next to a flooded river ?! 
 Only car their too ! 
Insurance job ? https://t.co/MK8c10WXLj",,twitter,en,https://twitter.com/Bizziekid/status/1742675096920019134
50,t-1742674931031163318,2024-01-03T22:30:55Z,"A potent storm hit the United Kingdom in early 2024, causing flooding along the River Severn.

#Landsat 8 captured these enhanced-color images before (2019) and after (Jan. 3, 2024). Dark blue indicates the presence of water. https://t.co/0TSe09Mb3d https://t.co/IAQJU149bY",,twitter,en,https://twitter.com/NASAEarth/status/1742674931031163318
51,t-1742674509549969728,2024-01-03T22:29:15Z,@RickArmstrong11 @Roydini25 All those people flooded in the UK should sue the government for geoengineering our weather 🤬,,twitter,en,https://twitter.com/NicolaJaneArt/status/1742674509549969728
52,t-1742674257119781353,2024-01-03T22:28:14Z,"@SketchLisa We have the rivers Jordan and Welland burst their banks.
Yes we do have a river Jordan in England",,twitter,en,https://twitter.com/LoweChrisR/status/1742674257119781353
53,t-1742673131699876235,2024-01-03T22:23:46Z,"@RachelOrr @DoctorPreece Then the City of York is the place for you - walled city, medieval, the Minster, the River Ouse (when not in flood) &amp; flat",,twitter,en,https://twitter.com/Psychologicsal/status/1742673131699876235
54,t-1742672713661948340,2024-01-03T22:22:06Z,"⚡️ ⚠️ 𝐔𝐑𝐆𝐄𝐍𝐓 𝐔𝐏𝐃𝐀𝐓𝐄 – 𝐅𝐫𝐚𝐧𝐜𝐞: This Wednesday morning, many towns bordering the Aa river (still on red alert) are flooded, as reported from Blendecques in Pas-de-Calais, about 50 km on a distance from the Straight of Dover, in NW'tern part of the country.… https://t.co/8BeREp2hxQ",['flood-forecast'],twitter,en,https://twitter.com/matttttt187/status/1742672713661948340
55,t-1742672165764288778,2024-01-03T22:19:56Z,@MarcJF241 To Loughborough so that will be one for February's calender month!! It is going to be a pretty vile day by the looks of it tomorrow!! Poor Loughborough has been hit 🎯 by the floods too!! A day of staying home I think 🤔 tomorrow the animals won't x https://t.co/a2jUDBUE50,['flood-damages'],twitter,en,https://twitter.com/JoannaRobinson5/status/1742672165764288778
56,news-eventregistry-7916739671,2024-01-03T22:18:57Z,"David Beckham 'gutted' as Storm Henk causes damage to Cotswolds estate

David Beckham has expressed his sadness at the devastation caused by Storm Henk at his family's home in the Cotswolds, as winds continue to batter the UK

David Beckham has admitted he feels ""gutted"" after Storm Henk caused devastation around his family's home in the Cotswolds.

Storm Henk has brought winds of almost 100mph to the UK alongside torrential rainfall and claimed one life in the past few days. Now, hundreds of flood warnings, including 'danger to life' alerts, have been mapped across England with swathes of the country sitting underwater.

The Beckham residence has been on the receiving end too, meanwhile, with former England captain David taking to Instagram on Wednesday to share a snap of the damage. The shot showed a fallen tree on the grounds of the stunning property after it was battered by wind.

The Beckham's Cotswolds residence was impacted by Storm Henk Becks shared an image of the damage to his Instagram story

Becks, 48, captioned the image: ""Could have been worse. Still gutted."" He appeared to get over the disappointment relatively quickly, however, returning to his story to post his present from Victoria - a new coup with several chickens. Unveiling her unusual gift on Christmas Day, Posh exclaimed: ""He got some chickens!"" David could be heard saying: ""And a cockerel,"" as Victoria continued: ""Some Beckham chickens,"" and zoomed in on the birds.

She continued: ""Chickens, actually there's a massive c**k in there as well. What to get David Beckham for Christmas. They are a bit camera shy these chickens and the c**k."" Fans were left in hysterics at Victoria's comment, as one said: ""Victoria has such amazing sense of humour love it."" Another added: ""This is going to be a trending sound bite Victoria.""

It comes after Victoria shared a glimpse into her family's lavish New Year's Eve celebrations on Sunday in new family pictures. The fashion designer, 49, took to her Instagram page to post a few snaps of the Beckham family's lavish dinner at a lavish restaurant. The entire family, bar son Brooklyn Beckham and his wife Nicola Peltz were at the swanky dinner as they enjoyed glasses of wine and lit up sparklers.

Victoria looked gorgeous in an emerald dress Posh Spice shared a glimpse into the family dinner

In one snap, Victoria and David pulled out their best model pose on the staircase. Victoria stood behind David as she wrapped her arms around him. She looked gorgeous in a form-fitting emerald green backless dress. Her hair was straightened into a simple style and she accessorised with a pair of earrings.

David looked dapper in a navy blue suit and a pair of aviator sunglasses. Victoria also shared pictures of everyone enjoying drinks at the dinner table. Romeo's girlfriend Mimi Regan was also at the celebratory event, whilst further pics showed David and daughter Harper posing lovingly together.

*Follow Mirror Celebs on Snapchat, Instagram, Twitter, Facebook, YouTube and Threads.",,news,en,https://www.mirror.co.uk/3am/celebrity-news/uk-weather-david-beckham-gutted-31801740
57,t-1742671723693048106,2024-01-03T22:18:10Z,Any folk in Loughborough seen @JaneMHunt out helping the flood victims off Belton road area? I sincerely doubt it 🤷‍♂️,['flood-logistics'],twitter,en,https://twitter.com/flyingstraight/status/1742671723693048106
58,t-1742671602930651305,2024-01-03T22:17:42Z,"@DaveThroup Completely agree with your general point, but might the flood defences, installed when Asda was built, have the effect of constricting and thus raising the flood level at Hereford Bridge ?","['flood-logistics', 'flood-damages']",twitter,en,https://twitter.com/gosforthgraeme/status/1742671602930651305
59,t-1742671563449868640,2024-01-03T22:17:32Z,Wales hit by major flooding following Storm Henk https://t.co/Wb8V6ABuWS via @YouTube,,twitter,en,https://twitter.com/FLATEARTHCENTER/status/1742671563449868640
60,news-eventregistry-7917529312,2024-01-03T22:14:38Z,"Hartford community activist files defamation lawsuit against lobbyist regarding North End flooding

A Hartford community activist has filed a defamation lawsuit against a lobbyist regarding the controversial sewage and flooding problems in the city's North End.

Bridgitte A. Prince, an outspoken advocate of her native Hartford who now lives in Manchester, is seeking $100,000 and representing herself in the lawsuit that stems from the decades-long problems of flooding in the Capital City.

A disabled veteran of the U.S. Army, Prince is claiming ""violation of the First Amendment, defamation, harassment, and threatening against a person with disabilities,"" according to the lawsuit filed in state Superior Court in Hartford.

Prince had been seeking to get help from the state legislature to address the sewage problems, a long-unsolved issue in the city's predominantly Black North End.

Prince states in the lawsuit that she ""demonstrated that the legislation's handling of the Hartford sewage outflow victims paled in comparison to the remedies afforded to suburban crumbling foundation victims, who were predominantly white.""

The case has been filed against Janice Flemming-Butler, a lobbyist who is the founder of Strategic Outreach Solutions, the state's only Black female lobbying firm. Flemming-Butler, who was named one of Hartford Business Journal's Top 25 Women in Business in 2022, was lobbying for the Metropolitan District Commission and the city of Hartford, according to court papers.

But Flemming-Butler is pushing back strongly with a recent motion to strike all key parts of the case, saying her comments about Prince were true.

""While defendant may have published certain statements on her Facebook page directed toward the plaintiff [Prince], nothing that she stated was false,"" according to court papers.

Through her attorney, Flemming-Butler said in a seven-page motion to strike that all counts ""should be stricken"" in their entirety by the Superior Court judge.

Among other things, Prince claims that Flemming-Butler stated, ""Bridgette Prince go back to Glastonbury and ask your legislators to fix whatever problems you having because you won't sleep messing with me.""

While they are little known outside the capital city, Prince wrote in court papers that, ""Prince and Flemming-Butler are both public figures in the Greater Hartford community.""

The standard of being a public figure in libel cases is critical because proving a case in court is more difficult against a public figure under the landmark U.S. Supreme Court ruling in New York Times vs. Sullivan, which was decided by the nation's highest court in 1964 in favor of the newspaper.

Prince said that the two women ""often encountered each other at the CT state Capitol and the Legislative Office Building. In fact, the two were on opposite teams.""

When the flooding and sewage problems remained unresolved, House Speaker Matt Ritter of Hartford -- the most powerful player on Hartford issues in the legislature -- stepped forward to craft a compromise.

Eventually, an amendment was passed to set aside $170 million to resolve the problems, and top state officials, including Gov. Ned Lamont, gathered in June on Granby Street in the city's North End to say the resolution should not have taken so long.",,news,en,https://www.courant.com/2024/01/04/hartford-community-activist-files-defamation-lawsuit-regarding-north-end-flooding/
61,t-1742670468400734672,2024-01-03T22:13:11Z,"@kunley_drukpa @leonvarkalis Your framing of the facts makes it sound like Britain flooded Burma with biological bottom barrel Indian Muslim peasants  — Indians were mass imported as cash economy workers, merchants, and shopkeepers, and ethnic Burmans were relegated to subsistence agriculture",,twitter,en,https://twitter.com/ElegantiaeArbit/status/1742670468400734672
62,t-1742669413416083608,2024-01-03T22:09:00Z,"Lord Dannatt said in 2022 that we needed £80m at least in #Norfolk to help stop flooding, as part of the Strategic Flooding Alliance report. The government just ignored! No wonder he left. No wonder #NorthWestNorfolk is struggling. 

https://t.co/wouX9IX5yU https://t.co/FFqA7vtDG2",,twitter,en,https://twitter.com/WestNorfolkRob/status/1742669413416083608
63,t-1742669241529061460,2024-01-03T22:08:19Z,Travelling back from Liverpool roads pretty bad but manageable going slow but my niece had some knob flashing  and sticking the V sign up as she wasn’t going fast enough for him! Absolute bell end!!! #Weather #floods #dickheads #Liverpool,['flood-logistics'],twitter,en,https://twitter.com/christine6257/status/1742669241529061460
